GENE	Par_RR_dS	Par_RR_Omega	Par_RR_dS_PP	Par_RR_Omega_PP	Sig
2976.38127661.acyltransferase__putative__expressed	-0.568	0.159	0.057	0.69	*
2986.38127873.PLAC8_family_protein	-0.163	0.0783	0.39	0.55	*
2988.38127948.basic_helix_loop_helix__bHLH__DNA_binding_superfamily_protein	0.142	0.216	0.59	0.68	*
299.38080914.ABC_transporter_related	-0.41	0.443	0.17	0.91	*
2993.38128145.kinesin_like_protein__identical__putative__expressed	-0.362	-0.223	0.19	0.34	*
2995.38128189.potassium_channel_beta_subunit_1	-0.558	0.142	0.097	0.68	*
2999.38128270.Acyl_CoA_N_acyltransferases__NAT__superfamily_protein	-0.0913	-0.000258	0.43	0.51	*
3.38075519.expressed_protein	-0.57	-0.136	0.038	0.34	*
30.38075868.P_loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein	0.525	-0.366	0.93	0.2	*
3001.38128293.serine_esterase_family_protein__putative__expressed	0.204	-0.664	0.74	0.0072	*
3004.38128390.pentatricopeptide__putative__expressed	-0.243	-0.0321	0.3	0.47	*
3005.38128434.initiator_tRNA_phosphoribosyl_transferase_family_protein__putative__expressed	-0.0867	-0.28	0.43	0.29	*
3007.38128446.expressed_protein	-0.472	0.0332	0.075	0.55	*
3011.38128515.serine_hydroxymethyltransferase__mitochondrial_precursor__putative__expressed	0.00342	-0.357	0.5	0.13	*
3012.38128518.photosystem_II_reaction_center_PSB28_protein	-0.13	-0.43	0.4	0.1	*
3013.38128525.diaminopimelate_epimerase__chloroplast_precursor__putative__expressed	-0.555	-0.0328	0.038	0.46	*
3020.38128628.Glycosyl_hydrolase_superfamily_protein	0.0371	-0.294	0.53	0.33	*
3023.38128662.TRAF_like_family_protein	-0.309	-0.459	0.22	0.06	*
3024.38128687.expressed_protein	0.0772	-0.454	0.56	0.095	*
3025.38128692.expressed_protein	-0.0738	0.579	0.45	0.92	*
303.38080914.ABC_transporter_related	-0.439	0.479	0.14	0.94	*
3034.38128900.	0.063	-0.937	0.54	0.0016	*
3037.38129065.ATPase__V0_complex__subunit_E	0.28	0.198	0.69	0.62	*
3039.38129123.photosystem_I_reaction_center_subunit_N__chloroplast_precursor__putative__expressed	-0.588	0.451	0.08	0.85	*
3040.38129142.photosystem_I_reaction_center_subunit_N__chloroplast_precursor__putative__expressed	-0.621	-0.443	0.029	0.13	*
3049.38129312.expressed_protein	-0.107	-0.595	0.4	0.1	*
3050.38129328.F_box_family_protein	0.547	-0.724	0.83	0.076	*
3052.38129386.NAD_P__binding_Rossmann_fold_superfamily_protein	-0.895	0.803	0.0027	0.99	*
3064.38129634.NUC153_domain_containing_protein__expressed	-0.489	0.288	0.11	0.75	*
3065.38129659.arabinogalactan_protein_15	0.0696	-0.207	0.56	0.37	*
3066.38129670.WD_domain__G_beta_repeat_domain_containing_protein__expressed	-0.16	-0.37	0.37	0.28	*
307.38081233.expressed_protein	-0.16	-0.129	0.31	0.36	*
3070.38129717.Transcription_factor_TFIIIC__tau55_related_protein	0.0146	-0.0742	0.48	0.44	*
3071.38129729.deoxyribonuclease_tatD__putative__expressed	-0.409	0.0828	0.2	0.55	*
3073.38129780.	0.368	-0.892	0.74	0.013	*
3074.38129791.	-0.151	-0.553	0.38	0.18	*
309.38081248.OsClp9___Putative_Clp_protease_homologue__expressed	-0.546	0.463	0.028	0.96	*
3092.38130072.VQ_domain_containing_protein__putative	-0.131	-0.451	0.39	0.22	*
3095.38130104.expressed_protein	-0.145	-0.827	0.41	0.044	*
3099.38130153.pentatricopeptide__PPR__repeat_containing_protein	-0.741	-0.5	0.011	0.062	*
31.38075887.GEX2__putative__expressed	-0.429	0.0233	0.059	0.54	*
3101.38130177.aluminum_activated_malate_transporter__putative__expressed	-0.0228	0.00905	0.48	0.49	*
3106.38130339.	-0.692	-0.463	0.012	0.063	*
3107.38130364.PPPDE_putative_thiol_peptidase_family_protein	-0.412	0.373	0.2	0.75	*
3109.38130368.DNA_polymerase_epsilon_subunit_B2	-0.188	0.175	0.32	0.66	*
3112.38130452.Gibberellin_regulated_family_protein	-0.134	-0.0231	0.36	0.48	*
3114.38130507.Cupin_domain_containing_protein__expressed	-0.606	0.106	0.042	0.61	*
3118.38130565.expressed_protein	-0.637	0.546	0.084	0.89	*
3119.38130600.Pentatricopeptide_repeat__PPR__superfamily_protein	-0.226	-0.0815	0.29	0.42	*
312.38081233.expressed_protein	-0.179	-0.119	0.31	0.36	*
3122.38130623.	-0.0728	-0.331	0.42	0.29	*
3124.38130663.methyltransferases	-0.596	-0.232	0.049	0.27	*
3128.38130740.	-0.438	-0.022	0.14	0.49	*
3135.38130913.	-0.227	0.114	0.32	0.57	*
3137.38130959.expressed_protein	-0.204	-0.407	0.27	0.13	*
314.38081248.OsClp9___Putative_Clp_protease_homologue__expressed	-0.528	0.455	0.028	0.96	*
3152.38131318.leucoanthocyanidin_dioxygenase	-0.3	-0.454	0.2	0.068	*
3153.38131333.leucoanthocyanidin_dioxygenase	0.249	0.318	0.66	0.69	*
3158.38131407.glycine_rich_protein	-0.684	0.116	0.071	0.58	*
316.38081393.GTP_binding_protein__putative__expressed	0.13	0.318	0.6	0.77	*
3162.38131435.myb_domain_protein_107	-0.543	0.459	0.1	0.9	*
3168.38131534.expressed_protein	-0.764	0.43	0.019	0.82	*
3170.38131547.myosin_heavy_chain_related	-0.348	-0.294	0.24	0.26	*
3171.38131557.	-0.579	0.174	0.049	0.67	*
3172.38131656.expressed_protein	-0.663	-0.755	0.058	0.039	*
3181.38131794.expressed_protein	-0.533	0.0658	0.046	0.58	*
3186.38131890.tRNA_synthetase__putative__expressed	-0.35	0.131	0.14	0.65	*
3188.38131923.responsive_to_abscisic_acid_28	0.409	-0.47	0.77	0.2	*
3190.38131928.mRNAadenosine_methylase	-0.031	0.187	0.46	0.64	*
3192.38131943.P_loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein	-0.268	0.296	0.23	0.84	*
3193.38131975.P_loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein	-0.106	-0.506	0.4	0.18	*
3197.38132061.expressed_protein	-0.305	0.209	0.29	0.64	*
3198.38132147.expressed_protein	-0.872	0.865	0.0045	0.99	*
32.38075897.	0.0926	-0.0231	0.58	0.48	*
320.38081456.scramblase_related	-0.0585	-0.642	0.44	0.069	*
3200.38132157.expressed_protein	-0.367	-0.177	0.21	0.38	*
3201.38132167.expressed_protein	-0.0182	-0.552	0.49	0.17	*
3203.38132217.RS2_interacting_KH_protein	-0.451	-0.483	0.18	0.18	*
3205.38132230.expressed_protein	0.0776	-0.163	0.56	0.4	*
3206.38132245.PP2A_regulatory_subunit_TAP46__putative__expressed	-0.778	0.211	0.0015	0.76	*
321.38081393.GTP_binding_protein__putative__expressed	0.239	0.303	0.68	0.76	*
321.38081492.FAD_dependent_oxidoreductase_domain_containing_protein__expressed	-0.114	-0.313	0.4	0.26	*
3210.38132283.aminotransferase__classes_I_and_II__domain_containing_protein__expressed	-0.0236	-0.409	0.48	0.17	*
3213.38132308.chaperone_protein_dnaJ_related	0.437	0.626	0.86	0.95	*
3214.38132317.Protein_of_unknown_function__DUF593	0.249	-0.262	0.71	0.31	*
3216.38132326.NAD_P__binding_Rossmann_fold_superfamily_protein	-0.548	-0.858	0.13	0.013	*
322.38081517.RNA_polymerase_III_subunit_RPC82_family_protein	-0.298	0.0234	0.2	0.54	*
3221.38132424.40S_ribosomal_protein_S7__putative__expressed	-0.143	-0.00885	0.41	0.5	*
3225.38132479.Protein_kinase_superfamily_protein	-0.378	0.209	0.17	0.7	*
3226.38132482.AMSH_like_protease__putative__expressed	-0.488	-0.237	0.058	0.21	*
3227.38132521.AMSH_like_protease__putative__expressed	-0.332	0.194	0.27	0.63	*
323.38081576.ADP_ribosylation_factor__putative__expressed	0.722	-0.543	1	0.027	*
3230.38132625.Mitochondrial_transcription_termination_factor_family_protein	0.306	-0.449	0.71	0.23	*
3232.38132629.	0.21	-0.0596	0.66	0.45	*
3237.38132688.expp1_protein_precursor__putative__expressed	0.151	0.141	0.62	0.59	*
3239.38132714.expressed_protein	-0.288	0.29	0.31	0.7	*
3240.38132724.C3_BTB2___Bric_a_Brac__Tramtrack__Broad_Complex_BTB_domain_with_C3_subfamily_conserved_sequence__expressed	-0.616	-0.529	0.032	0.058	*
3248.38132850.global_transcription_factor_group_A2	-0.142	0.328	0.36	0.81	*
3249.38132859.DNA_repair_and_meiosis_protein__Mre11_	-0.263	-0.65	0.24	0.014	*
325.38081456.scramblase_related	-0.0441	-0.618	0.46	0.074	*
3253.38132954.protein_kinase_domain_containing_protein__expressed	-0.534	0.69	0.1	0.98	*
3254.38132966.protein_kinase_domain_containing_protein__expressed	0.315	-0.489	0.75	0.17	*
3256.38132984.ligatin__putative__expressed	0.429	-0.854	0.82	0.0035	*
326.38081492.FAD_dependent_oxidoreductase_domain_containing_protein__expressed	-0.0613	-0.311	0.45	0.27	*
326.38081601.guanylate_kinase__putative__expressed	-0.313	0.22	0.25	0.65	*
3268.38133195.Protein_kinase_superfamily_protein	-0.528	-0.522	0.11	0.19	*
327.38081517.RNA_polymerase_III_subunit_RPC82_family_protein	-0.314	0.0546	0.19	0.57	*
327.38081751.Class_I_glutamine_amidotransferase_like_superfamily_protein	-0.404	-0.564	0.2	0.066	*
3270.38133235.fatty_acid_desaturase_6	-0.392	-0.0854	0.18	0.41	*
3273.38133343.Protein_of_unknown_function__DUF1068_	-nan	-nan	0.74	0.86	*
3277.38133497.expressed_protein	-0.847	0.322	0.0071	0.76	*
328.38081576.ADP_ribosylation_factor__putative__expressed	0.74	-0.566	1	0.021	*
3284.38133650.	-0.445	0.352	0.2	0.71	*
3290.38133813.surfeit_locus_protein__putative__expressed	0.0935	-0.174	0.6	0.34	*
3299.38133970.expressed_protein	0.202	-0.663	0.69	0.03	*
3305.38133995.ATP_citrate_lyase__ACL__family_protein	-0.306	-0.517	0.17	0.053	*
3306.38134010.	-0.37	-0.0267	0.16	0.47	*
331.38081601.guanylate_kinase__putative__expressed	-0.309	0.17	0.25	0.62	*
331.38081802.expressed_protein	0.198	-0.398	0.67	0.21	*
3310.38134101.	0.183	-0.725	0.63	0.1	*
3311.38134111.expressed_protein	-0.468	-0.155	0.14	0.41	*
3316.38134157.tetratricopeptide_repeat_domain_containing_protein__expressed	-0.518	0.269	0.033	0.78	*
3318.38134226.PHD_finger_family_protein__expressed	0.293	-0.142	0.7	0.4	*
332.38081751.Class_I_glutamine_amidotransferase_like_superfamily_protein	0.334	-0.623	0.71	0.03	*
332.38081828.expressed_protein	-0.17	-0.213	0.37	0.37	*
3337.38134637.PP2C_induced_by_AVRRPM1	-0.309	-0.338	0.23	0.21	*
3347.38134822.leucine_rich_repeat_family_protein__putative__expressed	-0.138	0.334	0.34	0.77	*
335.38081906.expressed_protein	-0.166	-0.761	0.36	0.018	*
336.38081802.expressed_protein	0.2	-0.41	0.68	0.2	*
3366.38135249.expressed_protein	-0.0147	-0.517	0.49	0.076	*
3367.38135262.proteasome_family_protein	-0.41	0.0205	0.18	0.51	*
337.38081828.expressed_protein	-0.186	-0.121	0.35	0.43	*
3373.38135340.sirohydrochlorin_ferrochelatase__putative__expressed	0.0835	-0.225	0.55	0.36	*
3374.38135369.	-0.367	0.207	0.19	0.68	*
3377.38135405.Leucine_rich_repeat_protein_kinase_family_protein	-0.518	-0.141	0.055	0.38	*
3380.38135491.F_box_family_protein	0.533	-0.283	0.95	0.2	*
3381.38135531.LITAF_domain_containing_protein__putative__expressed	-0.546	0.193	0.16	0.66	*
3384.38135574.expressed_protein	0.324	-0.0866	0.83	0.4	*
3388.38135790.pentatricopeptide__putative__expressed	-0.242	-0.429	0.27	0.12	*
3389.38135805.cytokinin_dehydrogenase_precursor__putative__expressed	-0.341	0.201	0.18	0.71	*
3390.38135816.S_adenosyl_L_methionine_dependent_methyltransferases_superfamily_protein	-0.577	-0.723	0.071	0.033	*
3392.38135833.expressed_protein	-0.348	0.197	0.22	0.63	*
3393.38135856.DNA_primases	-0.414	-0.912	0.19	0	*
3396.38135882.S_adenosyl_L_methionine_dependent_methyltransferases_superfamily_protein	-0.681	-0.658	0.042	0.055	*
3397.38135883.	-0.583	-0.488	0.058	0.13	*
340.38081906.expressed_protein	-0.184	-0.739	0.34	0.031	*
340.38082071.ZCW7	-0.573	0.109	0.051	0.62	*
3400.38135946.splicing_factor_PWI_domain_containing_protein	0.267	-0.657	0.74	0.043	*
3402.38135969.expressed_protein	-0.0052	-0.318	0.48	0.28	*
3404.38136008.Sel1_repeat_domain_containing_protein__putative__expressed	-0.607	0.165	0.027	0.71	*
3410.38136093.	-0.287	0.327	0.28	0.76	*
3414.38136252.expressed_protein	0.656	-0.865	0.93	0.0045	*
3417.38136387.	0.249	0.19	0.76	0.71	*
3419.38136409.dehydrogenase__putative__expressed	0.0798	-0.0398	0.54	0.47	*
3420.38136414.electron_transfer_flavoprotein_subunit_beta__putative__expressed	-0.597	-0.0145	0.059	0.49	*
3429.38136549.expressed_protein	-0.157	-0.188	0.32	0.33	*
3430.38136561.expressed_protein	-0.0631	-0.841	0.43	0.0052	*
3433.38136585.S_adenosyl_L_methionine_dependent_methyltransferases_superfamily_protein	0.202	0.714	0.66	0.93	*
3437.38136622.HEAT_repeat_containing_protein	-0.288	-0.219	0.22	0.3	*
3440.38136714.expressed_protein	-0.0087	0.06	0.49	0.53	*
3442.38136797.Leucine_rich_repeat__LRR__family_protein	-0.414	0.0533	0.13	0.57	*
3449.38136844.expressed_protein	-0.577	-0.0774	0.1	0.44	*
345.38082071.ZCW7	-0.572	0.106	0.054	0.62	*
3452.38137003.expressed_protein	-0.12	-0.66	0.41	0.097	*
3453.38137006.peptidoglycan_binding_LysM_domain_containing_protein	0.172	-0.616	0.63	0.089	*
3459.38137163.exosome_complex_exonuclease__putative__expressed	-0.745	-0.142	0.029	0.37	*
346.38082183.ribosome_binding_factor_A_family_protein	-0.485	-0.506	0.12	0.095	*
3460.38137194.exosome_complex_exonuclease__putative__expressed	-0.225	-0.303	0.25	0.21	*
3468.38137330.expressed_protein	0.182	0.466	0.68	0.86	*
3471.38137410.	-0.189	-0.619	0.31	0.082	*
3472.38137441.expressed_protein	0.34	0.528	0.77	0.88	*
3473.38137466.	0.109	0.0308	0.6	0.52	*
3474.38137468.	-0.716	0.171	0.014	0.67	*
3475.38137469.Josephin_family_protein	0.794	-0.83	0.95	0.012	*
3481.38137562.Prefoldin_chaperone_subunit_family_protein	0.0351	-0.508	0.53	0.2	*
3485.38137603.expressed_protein	-0.059	-0.536	0.44	0.064	*
3495.38137783.expressed_protein	-0.338	0.266	0.18	0.75	*
3497.38137803.carotenoid_cleavage_dioxygenase_8	-0.169	-0.169	0.33	0.28	*
350.38082401.NAD_P__binding_Rossmann_fold_superfamily_protein	-0.424	-0.225	0.2	0.35	*
3500.38137888.NAD_P__binding_Rossmann_fold_superfamily_protein	0.63	-0.925	0.9	0.0038	*
3503.38137924.	-0.524	-0.302	0.14	0.31	*
3505.38137997.pumilio_23	-0.326	-0.328	0.19	0.24	*
3508.38138031.bifunctional_protein_folD__putative__expressed	-0.0775	0.218	0.4	0.7	*
351.38082183.ribosome_binding_factor_A_family_protein	-0.43	-0.523	0.14	0.084	*
352.38082413.Small_nuclear_RNA_activating_complex__SNAPc___subunit_SNAP43_protein	-0.062	0.411	0.45	0.74	*
3520.38138194.histidine_kinase_2	0.216	-0.864	0.65	0.012	*
3525.38138266.Ribonuclease_III_family_protein	-0.541	-0.669	0.059	0.004	*
3526.38138274.dolichyl_P_Man_Man_PP_dolichyl_mannosyltransferase__putative__expressed	0.285	-0.513	0.76	0.11	*
3527.38138296.	-0.513	-0.482	0.16	0.2	*
3529.38138316.	-0.181	-0.209	0.35	0.37	*
3531.38138338.Late_embryogenesis_abundant_protein__LEA__family_protein	0.0551	-0.356	0.53	0.27	*
3533.38138351.Tetratricopeptide_repeat__TPR__like_superfamily_protein	0.173	-0.907	0.63	0.00063	*
3536.38138377.BAS1__putative__expressed	-0.00578	-0.772	0.5	0.032	*
3537.38138402.	-0.298	-0.327	0.31	0.29	*
3541.38138427.FGGY_family_of_carbohydrate_kinase	-0.211	-0.571	0.28	0.017	*
3543.38138436.like_COV_1	0.119	0.0788	0.61	0.55	*
3546.38138525.acetyltransferase_type_B_catalytic_subunit__putative__expressed	0.00946	-0.904	0.51	0.00099	*
3548.38138527.acetyltransferase_type_B_catalytic_subunit__putative__expressed	-0.325	-0.374	0.25	0.21	*
355.38082401.NAD_P__binding_Rossmann_fold_superfamily_protein	-0.483	-0.252	0.17	0.33	*
355.38082443.	-0.383	-0.293	0.24	0.31	*
3550.38138555.pentatricopeptide__putative__expressed	-0.426	-0.632	0.15	0.021	*
3554.38138599.expressed_protein	-0.38	-0.0657	0.19	0.44	*
3556.38138611.paralog_of_ARC6	-0.378	-0.294	0.25	0.29	*
3558.38138667.mitochondrial_import_inner_membrane_translocase_subunit_Tim17__putative__expressed	0.0935	0.695	0.56	0.91	*
3561.38138697.expressed_protein	0.198	-0.602	0.65	0.086	*
3564.38138714.pumilio_1	0.349	-0.981	0.72	6.1e-05	*
3565.38138729.embryo_sac_development_arrest_14	-0.13	-0.194	0.38	0.34	*
3567.38138757.DNA_binding_protein__putative__expressed	-0.583	-0.0109	0.12	0.49	*
3568.38138769.Nucleic_acid_binding__OB_fold_like_protein	0.0685	-0.325	0.56	0.28	*
357.38082413.Small_nuclear_RNA_activating_complex__SNAPc___subunit_SNAP43_protein	-0.0466	0.398	0.46	0.74	*
3570.38138810.expressed_protein	-0.103	-0.124	0.42	0.41	*
3571.38138813.expressed_protein	-0.847	-0.717	0.017	0.039	*
3572.38138837.	0.24	-0.0213	0.72	0.5	*
3574.38138863.ASH_like_SPRY_domain_containing_protein__putative__expressed	-0.354	0.526	0.14	0.96	*
3578.38138926.expressed_protein	-0.189	-0.633	0.31	0.053	*
3581.38138939.Nucleic_acid_binding__OB_fold_like_protein	-0.674	-0.073	0.012	0.43	*
3582.38138989.HEAT_repeat_family_protein__putative__expressed	0.7	-0.728	0.97	0.032	*
3584.38139027.patatin__putative__expressed	-0.314	-0.168	0.26	0.37	*
3588.38139111.Transmembrane_proteins_14C	-0.246	0.0206	0.31	0.51	*
3592.38139207.expressed_protein	-0.436	-0.598	0.22	0.16	*
3593.38139216.	-0.171	0.219	0.38	0.64	*
3596.38139239.expressed_protein	-0.632	0.0827	0.072	0.58	*
360.38082443.	-0.403	-0.262	0.22	0.33	*
360.38082566.ARM_repeat_superfamily_protein	-0.148	-0.23	0.36	0.32	*
3601.38139283.ALA_interacting_subunit_1	-0.352	-0.951	0.27	0.0094	*
3602.38139299.ALA_interacting_subunit_1	-0.664	-0.791	0.074	0.013	*
3606.38139346.galactosyltransferase_family_protein__putative__expressed	-0.337	-0.00841	0.25	0.5	*
3609.38139414.Auxin_responsive_family_protein	0.47	-0.468	0.81	0.19	*
3616.38139500.expressed_protein	0.0624	0.242	0.55	0.64	*
3618.38139537.	-0.239	0.692	0.3	0.95	*
362.38082580.expressed_protein	-0.57	0.395	0.052	0.86	*
3632.38139851.plastid_transcriptionally_active_5	-0.492	-0.138	0.12	0.38	*
3635.38139937.	0.262	-0.0866	0.68	0.44	*
3639.38139974.ATP_synthase_B_chain__chloroplast_precursor__putative__expressed	-0.0952	0.208	0.44	0.63	*
364.38082599.DNA_polymerase_epsilon_catalytic_subunit	-0.625	-0.44	0.032	0.067	*
3641.38140014.	0.148	0.0383	0.66	0.59	*
3642.38140019.S_adenosyl_L_methionine_dependent_methyltransferases_superfamily_protein	0.0314	-0.617	0.5	0.088	*
3643.38140117.exosome_complex_exonuclease_RRP40__putative__expressed	-0.51	-0.293	0.057	0.21	*
3645.38140162.thioredoxin__putative__expressed	-0.528	0.795	0.15	0.98	*
3647.38140175.expressed_protein	-0.0281	0.556	0.47	0.9	*
3648.38140196.Integral_membrane_HPP_family_protein	-0.431	-0.304	0.096	0.24	*
365.38082566.ARM_repeat_superfamily_protein	-0.141	-0.205	0.37	0.34	*
3653.38140263.expressed_protein	-0.366	-0.346	0.23	0.28	*
3656.38140275.zinc_ion_binding	0.123	0.361	0.6	0.73	*
3658.38140326.B_box_zinc_finger_family_protein	0.346	-0.105	0.8	0.45	*
366.38082640.expressed_protein	-0.703	0.068	0.079	0.55	*
3663.38140398.expressed_protein	0.27	-0.855	0.72	0.00065	*
3667.38140498.Glycine_cleavage_T_protein_family	-0.206	-0.36	0.29	0.15	*
367.38082580.expressed_protein	-0.557	0.393	0.059	0.83	*
3670.38140582.expressed_protein	-0.509	-0.652	0.11	0.031	*
3671.38140591.expressed_protein	-0.336	-0.108	0.27	0.42	*
3674.38140640.expressed_protein	0.326	-0.102	0.8	0.41	*
3683.38140916.	0.752	-0.51	0.97	0.091	*
3687.38141016.FKBP12_interacting_protein_37	-0.107	0.152	0.36	0.67	*
3688.38141027.VEFS_Box_of_polycomb_protein	-0.187	-0.0105	0.33	0.52	*
3689.38141041.ankyrin__putative__expressed	-0.245	0.708	0.31	0.95	*
369.38082599.DNA_polymerase_epsilon_catalytic_subunit	-0.617	-0.42	0.032	0.08	*
369.38082704.stress_enhanced_protein_2	-0.236	0.189	0.24	0.7	*
3691.38141072.PPR_repeat_domain_containing_protein__putative__expressed	-0.191	-0.0672	0.36	0.46	*
3694.38141096.	0.0309	0.169	0.52	0.69	*
3698.38141145.	0.433	0.15	0.82	0.61	*
3699.38141183.expressed_protein	-0.32	-0.357	0.22	0.25	*
3704.38141248.Domain_of_unknown_function__DUF543_	0.307	-0.277	0.71	0.32	*
3708.38141309.phospho_N_acetylmuramoyl_pentapeptide_transferase__putative__expressed	-0.501	-0.59	0.17	0.14	*
371.38082640.expressed_protein	-0.691	0.119	0.083	0.58	*
371.38082728.	-0.0483	-0.502	0.45	0.091	*
3710.38141342.Mitochondrial_transcription_termination_factor_family_protein	-0.13	-0.197	0.38	0.37	*
3717.38141425.expressed_protein	0.213	-0.686	0.7	0.019	*
3719.38141441.CCT_motif_family_protein__expressed	-0.5	0.446	0.092	0.88	*
3721.38141513.DNA_directed_RNA_polymerase_II_subunit_RPB9__putative__expressed	-0.285	0.0663	0.25	0.58	*
3722.38141517.Protein_kinase_superfamily_protein	-0.638	0.0903	0.011	0.62	*
3727.38141580.sister_chromatid_cohesion_protein_3	-0.233	-0.57	0.28	0.029	*
373.38082765.expressed_protein	-0.153	-0.491	0.36	0.14	*
3731.38141627.partner_of_SLD_five_1	-0.456	-0.444	0.06	0.14	*
3733.38141638.partner_of_SLD_five_1	-0.464	-0.452	0.095	0.13	*
3736.38141647.ran_GTPase_activating_protein__putative__expressed	0.0493	0.903	0.53	0.99	*
374.38082704.stress_enhanced_protein_2	-0.271	0.216	0.19	0.74	*
3740.38141672.	0.47	-0.586	0.85	0.13	*
3741.38141739.TRAF_like_family_protein	0.153	0.0759	0.64	0.57	*
3747.38141893.expressed_protein	-0.174	-0.386	0.32	0.13	*
375.38082799.POLD2___Putative_DNA_polymerase_delta_complex_subunit__expressed	-0.394	0.143	0.14	0.63	*
376.38082728.	0.0321	-0.423	0.53	0.12	*
3760.38142123.forkhead_associated__FHA__domain_containing_protein_	-0.0711	0.711	0.45	0.91	*
3761.38142125.expressed_protein	0.525	0.713	0.94	0.99	*
3765.38142189.nascent_polypeptide_associated_complex_subunit_alpha_like_protein_3	0.155	-0.709	0.61	0.033	*
3771.38142355.aquaporin_protein__putative__expressed	-0.0249	0.0573	0.48	0.55	*
3773.38142359.radical_SAM_enzyme__putative__expressed	0.137	-0.77	0.64	0.025	*
3774.38142369.radical_SAM_enzyme__putative__expressed	0.242	0.239	0.71	0.71	*
378.38082765.expressed_protein	-0.166	-0.47	0.34	0.16	*
3784.38142498.expressed_protein	-0.231	0.508	0.3	0.82	*
3787.38142508.sequence_specific_DNA_binding_transcription_factors_sequence_specific_DNA_binding	-0.433	0.28	0.094	0.76	*
